"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","COUNTRY_CODE","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","HGT_IND","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","OB_PLATFORM","FM_CODE_VER","STA_WX_IND","PAST_WX2","IND_FOR_WAVE_MEAS","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP","QC_IND","QC_IND_FOR_FIELDS","MQCS_VER","SHIP_HEADING","COURSE_OVER_GROUND","SPD_OVER_GROUND","MAX_HT_SUM_LOAD","DEP_LOAD_IN","REL_WIND_DIR","REL_WIND_SPD"
"22934","2014-05-01T00:01:00","-2.51","116.72",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"306",,,,,,,,,,,,,"333","26","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-01T01:01:00","-2.50","116.72",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"308",,,,,,,,,,,,,"333","26","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-01T02:01:00","-2.49","116.73",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"311",,,,,,,,,,,,,"333","26","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-01T03:01:00","-2.48","116.74",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333","26","714","63","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-01T04:01:00","-2.47","116.74",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333","26","714","63","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-01T05:01:00","-2.46","116.75",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333","26","714","63","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"5903451","2014-05-01T05:43:00","-4.90","118.11",,,"1","3","3","5",,,,"3","99",,,,,,,,,,,,,,,,,,"12","305",,,,,,,,,,,,,"333","48","780","149","18","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A8SO8","2014-05-01T06:00:00","-5.30","114.10",,,"1","6","0","0","6","2",,"1",,"0","70","4","31",,"98","3",,"10082","7","18","0",,"0","290",,"270",,,"6","4","3",,"4","6","5",,,,,,"333","54","992","114","5","1","2","2","F71112","1111A1666A1AA1",,,,,"1",,,,,,,,,,,,,"4",,,,,,,,,,
"A8UT6","2014-05-01T06:00:00","-5.00","117.20",,,"1","6","0","0","1","3",,"1",,"0","90","4","51",,"98",,,"10090",,,"0","310","0","260",,"239","3","300","3","3","1",,"4","4","4","15","1",,,,"333","57","992","114","5","1","2","2","111111","111AA1111113AA",,,,,"1",,,,,,,,,,,,,"4",,,,,,,,,,
"22934","2014-05-01T06:01:00","-2.45","116.75",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"333","26","714","63","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
