"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","ICE_ACCR_ON_SHIP","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"2200617","2015-04-01T00:01:00","-6.55","116.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","301",,,,,,,,,,,,"333","66","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-01T00:01:00","-5.10","112.62",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","297",,,,,,,,,,,,"333","52","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200617","2015-04-01T01:01:00","-6.57","116.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","301",,,,,,,,,,,,"333","66","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-01T01:01:00","-5.10","112.62",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","298",,,,,,,,,,,,"333","52","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200617","2015-04-01T02:01:00","-6.58","116.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"333","66","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-01T02:01:00","-5.12","112.64",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","299",,,,,,,,,,,,"333","52","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200617","2015-04-01T03:01:00","-6.59","116.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"333","66","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-01T03:01:00","-5.13","112.64",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","301",,,,,,,,,,,,"333","52","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200617","2015-04-01T04:01:00","-6.60","116.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","303",,,,,,,,,,,,"333","66","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-01T04:01:00","-5.14","112.65",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"333","52","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
