"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"TBWUK99","2020-02-01T00:00:00","-4.20","110.60",,,"1","4","0","0","2","4","1","0","300","3","41",,"98",,,"10109",,,"0","280","0","265","259",,,"4",,,"A",,,,,,"0",,,"333","40","992","114","5","1","2","2","F11111","111AA1111A1A3A",,"1",,"0",,,,,,,,,"4"
"VRDJ3","2020-02-01T00:00:00","-6.60","116.60",,,"1","4","0","0","5","3","1","0","300","1","120",,"98","64","6","10060","2","20","0","270","0","260","256","1","293","8","6","8","3","1","A",,"3","1","29","6","2","333","66","992","114","5","1","2","2","111111","14131111111411",,"1","2",,,,,,,,,,"4"
"VRRB6","2020-02-01T02:00:00","-2.70","119.60",,,"1","4","0","0","8","3","1","0","350","4","77",,"97","2","0","10150","1",,"0","270","0","250","243","1","280","5","5","8","6","8","A",,"6","2","35",,,"333","29","992","114","5","1","2","2","111151","11111111111177",,"1","0",,,,"0","0","A","0","A","A","4"
"VRRB6","2020-02-01T03:00:00","-2.90","119.60",,,"1","4","0","0","8","3","1","0","350","4","77",,"97","2","0","10150","1",,"0","270","0","250","243","1","280","5","5","8","6","8","A",,"6","2","35",,,"333","29","992","114","5","1","2","2","111151","11111111111177",,"1","0",,,,"0","0","A","0","A","A","4"
"TBWUK99","2020-02-01T04:00:00","-4.60","111.60",,,"1","5","2","5","2","4","1",,"40","3","77","1","98",,"2","10103","0","3","8","290",,"270","262",,,"6","6","5","A","6","A",,"4","1",,,,"333","41","798","172","5","1","2","2","F12111","111A11111A11A1","5",,"2",,,,,,,,,,
"VRRB6","2020-02-01T04:00:00","-3.10","119.60",,,"1","6","2","5","8","3","1",,"350","4","77","1","97","2","0","10150","4","0","8","270",,"250","243","1","280","5","5","8","6","8","A",,"6","2","35","8","3","333","39","798","172","5","1","2","2","111151","1111111111117A","5",,"0",,,,,"0",,"0",,,
"CQAI7","2020-02-01T06:00:00","-9.90","115.90",,,"1","6","2","5","8","3","1",,"180",,"31","1","98","3","2","10090","4","0","8","290","0","235","208","3","310","6","5","1","5","0","5","18","5","0","21","12","2","333","95","798","172","5","0",,"2","111114","11111111111111","5",,"2",,,,,,,,,,
"VRDJ3","2020-02-01T06:00:00","-8.40","115.80",,,"1","4","0","0","4","4","1","0","230","4","41",,"98","2","2","10033","8","27","0","312","0","269","239","3","299","6","6","2","4","7","7",,"0","0","0","0","0","333","85","992","114","5","1","2","2","111122","11111111111111",,"1","2",,,,,,,,,,"4"
"C6BC9","2020-02-01T10:00:00","-4.30","110.80",,,"1","6","2","5","2","4","1",,"70","3","62","1","98","50","5","10090","3","6","8","290",,"260","248","1","300","8","6","8","4","6","8",,,,,,,"333","40","798","172","5","1","2","2","112111","11111111111AA1","5",,"2",,,,,,,,,,
"TBWUK99","2020-02-01T12:00:00","-5.40","113.60",,,"1","4","0","0","2","3","1","0","50","3","51",,"98",,,"10110",,,"0","290","0","275","269",,,"3",,,"A",,,,,,"0",,,"333","53","992","114","5","1","2","1","F11111","111AA1111A1A3A",,"1",,"0",,,,,,,,,"4"
